,Train Loss,Train Accuracy,Test Accuracy
0,3.8268705363176307,11.594,17.93
1,3.101483313404784,23.26,26.78
2,2.591657672609602,32.73,30.16
3,2.2174333151505916,40.498,38.81
4,1.9448334063802446,46.83,44.71
5,1.7314045246766538,51.694,44.25
6,1.5891240628398196,54.966,50.12
7,1.4560364922698663,58.552,52.73
8,1.3505490951392116,61.066,54.7
9,1.2663817782791293,63.214,54.13
10,1.1862638449790526,65.3,54.51
11,1.1099706170510273,67.458,59.39
12,1.0419144642596343,69.04,58.48
13,0.9923925220358129,70.356,61.83
14,0.9303487557537702,72.234,56.41
15,0.8866114348781352,73.638,59.7
16,0.839709605185353,74.788,61.26
17,0.7855529365490894,76.162,61.57
18,0.7542454204997238,76.966,60.19
19,0.7261875543971451,77.948,60.4
20,0.6972550691998735,78.556,60.86
21,0.6498562013920473,80.046,61.51
22,0.6255645647036786,80.964,57.21
23,0.5950562677213124,81.63,62.88
24,0.5766899012485329,82.16,61.26
25,0.5516574600217293,83.084,61.8
26,0.55301754480722,82.816,64.29
27,0.5263024097194478,83.62,63.4
28,0.5098880162956764,84.206,61.83
29,0.4883406381217801,84.942,61.55
30,0.4719198624394378,85.286,62.79
31,0.46618506069086035,85.49,63.73
32,0.4491006379224816,85.95,63.2
33,0.43018114931729373,86.712,63.01
34,0.42040884145060364,86.862,62.67
35,0.4123827933656926,86.986,65.05
36,0.40851492525971667,87.234,61.69
37,0.39005171469583805,87.816,58.86
38,0.3863533358944922,88.02,64.1
39,0.3803843325954311,88.178,60.83
40,0.37284538742839074,88.41,64.27
41,0.3763033592579316,88.216,63.12
42,0.35347739150937724,88.998,65.49
43,0.3467834252788096,89.22,63.47
44,0.3504949809641254,89.232,62.66
45,0.3569368028215,88.718,61.74
46,0.347267854122483,89.368,65.36
47,0.34462328832976674,89.33,65.33
48,0.30853574844647425,90.612,65.35
49,0.3148971872062099,90.28,62.67
50,0.3120257633225042,90.342,63.13
51,0.3272580861741183,89.944,62.96
52,0.3248699198724056,90.018,64.32
53,0.3042539633354362,90.56,64.85
54,0.3152449368214121,90.336,61.24
55,0.29956692457199097,90.852,61.93
56,0.3241162019572696,89.888,65.01
57,0.29026490655176496,91.204,62.71
58,0.29096475273978956,91.102,62.96
59,0.2839314940632606,91.4,59.38
60,0.2999293449125728,90.782,64.46
61,1.1568862905307693,95.848,71.99
62,0.983996713648037,99.0,72.23
63,0.9449373772557901,99.408,73.19
64,0.9211023373871433,99.604,73.85
65,0.9059027804403889,99.662,73.6
66,0.8938289208679783,99.75,73.65
67,0.8864891480426399,99.748,73.9
68,0.8786453951378258,99.802,73.71
69,0.8758271515977626,99.802,74.4
70,0.8610250913366979,99.896,74.54
71,0.8549001174313682,99.902,75.0
72,0.850292189388859,99.926,75.05
73,0.8485912990813352,99.92,74.95
74,0.845931814033158,99.91,75.27
75,0.843513488465426,99.932,75.09
76,0.8424716290770745,99.92,74.96
77,0.8409864066206679,99.916,74.8
78,0.8395704751720234,99.922,75.09
79,0.8390422347857027,99.924,74.84
80,0.8389198621925043,99.906,75.21
81,0.8371750231908293,99.908,74.78
82,0.836647126443532,99.916,75.58
83,0.8357639650301057,99.93,74.9
84,0.836677431452031,99.932,75.2
85,0.8363334792000907,99.892,74.73
86,0.8385244495406443,99.868,74.54
87,0.8387596655865105,99.906,74.56
88,0.8405415795895518,99.846,74.46
89,0.828302167508067,99.958,76.02
90,0.8236998401734293,99.966,75.99
91,0.8219568346227918,99.962,76.13
92,0.8208756285662554,99.96,76.13
93,0.8200910696569754,99.962,76.31
94,0.8192685948950904,99.958,76.24
95,0.8190043562529038,99.966,76.32
96,0.8182360161932147,99.952,76.28
